date_left	date_right	date_center	date_mean	num_allele	num_alt_allele	af	af_low	af_up	date_normalized	pt	pt_up	pt_low
0	0.0	0.0	0.0	12876	10103.0	0.7846380863622243	0.7775000000000001	0.7917000000000001	-0.0	0.8210049464160659	0.8408878901814156	0.7962649201228806
1	999.0	500.0	654.1325203252032	4920	3938.0	0.8004065040650407	0.7893	0.8116	-8.620689655172415	0.823567996827149	0.8459786340252875	0.7986807912052449
100	1100.0	600.0	760.9967203339296	6708	5382.0	0.8023255813953488	0.7928000000000001	0.8118000000000001	-10.344827586206897	0.8240771324413261	0.847406003323623	0.798621439975209
200	1200.0	700.0	821.0599895670318	7668	6130.0	0.7994261867501304	0.7905000000000001	0.8084	-12.068965517241379	0.8245851117629317	0.8489547506431111	0.7986643545885297
300	1300.0	800.0	924.8694491628246	8242	6584.0	0.7988352341664644	0.7902	0.8075	-13.793103448275861	0.8250919356117354	0.8506408792846937	0.7978596758958372
400	1400.0	900.0	994.965183306433	8674	6905.0	0.7960571823841365	0.7876000000000001	0.8045	-15.517241379310345	0.8255976048179683	0.8524634677071518	0.7975319289390024
500	1500.0	1000.0	1042.6762605496647	9242	7336.0	0.7937675827742913	0.7856000000000001	0.802	-17.24137931034483	0.8261021202222583	0.8532325426558134	0.7971598402265112
600	1600.0	1100.0	1121.9754588574963	9698	7689.0	0.792843885337183	0.7848	0.8009000000000001	-18.96551724137931	0.8266054826755675	0.8542861073611288	0.7957072105214654
700	1700.0	1200.0	1189.2496488059403	9966	7885.0	0.7911900461569336	0.7832	0.7991	-20.689655172413794	0.8271076930391288	0.8562272456625061	0.794363521217765
800	1800.0	1300.0	1272.2205910031996	10626	8418.0	0.7922077922077922	0.7845000000000001	0.7999	-22.413793103448278	0.8276087521843811	0.8580549193460212	0.7939854067425682
900	1900.0	1400.0	1361.6211040945202	9818	7774.0	0.7918109594622122	0.7838	0.7998000000000001	-24.137931034482758	0.8281086609929068	0.8593386421459988	0.7930537990709108
1000	2000.0	1500.0	1419.916103726302	9178	7270.0	0.7921115711483984	0.7838	0.8004	-25.862068965517242	0.828607420356368	0.8609640458933336	0.7915423308748617
1100	2100.0	1600.0	1504.4632139399807	8264	6537.0	0.7910212971926428	0.7823	0.7998000000000001	-27.586206896551722	0.8291050311764432	0.8623158744648141	0.7899149012914162
1200	2200.0	1700.0	1587.199393479909	7914	6254.0	0.790245135203437	0.7813	0.7992	-29.310344827586206	0.8296014943647634	0.8635377144287602	0.788529913847809
1300	2300.0	1800.0	1742.552222817354	7468	5901.0	0.7901713979646492	0.781	0.7994	-31.03448275862069	0.8300968108428495	0.865114579383067	0.78743220507618
1400	2400.0	1900.0	1859.639025804581	6898	5427.0	0.7867497825456654	0.7771	0.7964	-32.758620689655174	0.830590981542048	0.8669032812938631	0.7858868676982042
1500	2500.0	2000.0	1969.272114821324	6828	5367.0	0.7860281195079086	0.7763	0.7957000000000001	-34.48275862068966	0.831084007403469	0.8686536367616577	0.7849242632904281
1600	2600.0	2100.0	2121.1909385113267	7416	5810.0	0.7834412081984897	0.7741	0.7928000000000001	-36.206896551724135	0.8315758893779218	0.8702173790412348	0.783490641550884
1700	2700.0	2200.0	2210.0677966101694	7080	5536.0	0.7819209039548023	0.7723	0.7915000000000001	-37.93103448275862	0.8320666284258523	0.871619235008728	0.7820786865996001
1800	2800.0	2300.0	2298.499376169682	6412	4996.0	0.7791640673736744	0.769	0.7893	-39.6551724137931	0.83255622551728	0.8730081441322063	0.7806653994494945
1900	2900.0	2400.0	2407.424686940966	5590	4332.0	0.7749552772808587	0.7641	0.7859	-41.37931034482759	0.8330446816317346	0.874896625131383	0.7797857419670103
2000	3000.0	2500.0	2441.2708638360177	5464	4230.0	0.7741581259150805	0.7631	0.7852	-43.10344827586207	0.8335319977581932	0.8768350053082404	0.7786177861046105
2100	3100.0	2600.0	2499.7052474879047	5374	4141.0	0.7705619650167473	0.7594000000000001	0.7818	-44.827586206896555	0.8340181748950177	0.8786281129286121	0.7775715899126987
2200	3200.0	2700.0	2548.57859922179	5140	3953.0	0.7690661478599222	0.7576	0.7806000000000001	-46.55172413793103	0.8345032140498911	0.8800680945142708	0.7758291723158948
2300	3300.0	2800.0	2654.481890459364	4528	3487.0	0.7700971731448764	0.7578	0.7823	-48.275862068965516	0.8349871162397559	0.8818014342519034	0.7737529628010218
2400	3400.0	2900.0	2726.1496861419605	4142	3184.0	0.7687107677450506	0.7559	0.7815000000000001	-50.0	0.83546988249075	0.8833630590449401	0.7725641778465412
2500	3500.0	3000.0	2824.89564281872	3718	2866.0	0.7708445400753093	0.7573000000000001	0.7843	-51.724137931034484	0.8359515138381454	0.8844095244123239	0.7713711478805231
2600	3600.0	3100.0	3004.145506419401	2804	2167.0	0.7728245363766049	0.7573000000000001	0.7883	-53.44827586206897	0.8364320113262846	0.886368988947203	0.7700522861051218
2700	3700.0	3200.0	3198.5716878402905	2204	1698.0	0.7704174228675136	0.7529	0.788	-55.172413793103445	0.836911376008519	0.8877245057115618	0.768492719692584
2800	3800.0	3300.0	3326.886200716846	2232	1717.0	0.7692652329749103	0.7518	0.7867000000000001	-56.89655172413793	0.8373896089471455	0.8890727843423136	0.7669257769752553
2900	3900.0	3400.0	3451.770850884583	2374	1838.0	0.7742207245155855	0.7574000000000001	0.791	-58.62068965517241	0.8378667112133451	0.8908011174437247	0.7653514664205647
3000	4000.0	3500.0	3550.8423457730387	2626	2037.0	0.7757044935262757	0.7598	0.7917000000000001	-60.3448275862069	0.83834268388712	0.8923611609442986	0.7637697971473967
3100	4100.0	3600.0	3626.198198198198	2664	2086.0	0.7830330330330331	0.7674000000000001	0.7987000000000001	-62.06896551724138	0.8388175280572318	0.893883310933536	0.7621807789309996
3200	4200.0	3700.0	3714.056402439024	2624	2074.0	0.7903963414634146	0.7748	0.8059000000000001	-63.793103448275865	0.8392912448211391	0.8952239053855532	0.7605844222078135
3300	4300.0	3800.0	3809.6383476227593	2566	2032.0	0.7918939984411536	0.7762	0.8076	-65.51724137931035	0.8397638352849361	0.8966328259135402	0.758980738080216
3400	4400.0	3900.0	3894.9498069498068	2590	2062.0	0.7961389961389962	0.7806000000000001	0.8116	-67.24137931034483	0.8402353005632901	0.8980233034428365	0.7569600922679888
3500	4500.0	4000.0	3982.0086139389196	2554	2031.0	0.7952231793265466	0.7796000000000001	0.8109000000000001	-68.96551724137932	0.8407056417793797	0.8993951904321663	0.755164227599382
3600	4600.0	4100.0	4054.0663430420714	2472	1972.0	0.7977346278317152	0.7819	0.8135	-70.6896551724138	0.8411748600648337	0.9007439857973912	0.7536076555028015
3700	4700.0	4200.0	4127.384615384615	2444	1961.0	0.8023731587561375	0.7866000000000001	0.8181	-72.41379310344827	0.8416429565596686	0.9020752585546657	0.7520444359827935
3800	4800.0	4300.0	4245.075062552127	2398	1929.0	0.80442035029191	0.7886000000000001	0.8203	-74.13793103448276	0.8421099324122281	0.903243890582529	0.7505651557592008
3900	4900.0	4400.0	4343.729076790337	2318	1869.0	0.8062985332182916	0.7902	0.8223	-75.86206896551724	0.842575788779121	0.9042764066383377	0.7490854852245175
4000	5000.0	4500.0	4483.704854368932	2060	1658.0	0.8048543689320389	0.7878000000000001	0.8220000000000001	-77.58620689655173	0.8430405268251596	0.9052990414172092	0.7475508564214149
4100	5100.0	4600.0	4584.546006066734	1978	1588.0	0.8028311425682507	0.7853	0.8203	-79.3103448275862	0.8435041477232995	0.9065415888269883	0.7458890341525481
4200	5200.0	4700.0	4697.402332361516	2058	1645.0	0.7993197278911565	0.782	0.8166	-81.03448275862068	0.8439666526545777	0.907820301541468	0.7442200151065558
4300	5300.0	4800.0	4758.54356846473	1928	1534.0	0.7956431535269709	0.7777000000000001	0.8136	-82.75862068965517	0.844428042808052	0.9090832689462913	0.7425438172861585
4400	5400.0	4900.0	4845.466821885914	1718	1375.0	0.80034924330617	0.7814	0.8192	-84.48275862068965	0.8448883193807393	0.9103306370769019	0.740898234591961
4500	5500.0	5000.0	4945.262701363073	1614	1280.0	0.7930607187112764	0.7733	0.8128000000000001	-86.20689655172414	0.8453474835775565	0.9116350259854905	0.7393156576830868
4600	5600.0	5100.0	5039.585247883918	1654	1314.0	0.7944377267230955	0.775	0.8139000000000001	-87.93103448275862	0.8458055366112579	0.9127791594679854	0.7376506139222802
4700	5700.0	5200.0	5124.3778337531485	1588	1245.0	0.7840050377833753	0.7638	0.8042	-89.65517241379311	0.8462624797023761	0.9138922225889271	0.7360171392459466
4800	5800.0	5300.0	5261.9986282578875	1458	1148.0	0.7873799725651578	0.7664000000000001	0.8084	-91.37931034482759	0.8467183140791609	0.9149571973106814	0.7343771560478791
4900	5900.0	5400.0	5381.04802259887	1416	1114.0	0.786723163841808	0.7654000000000001	0.808	-93.10344827586206	0.8471730409775189	0.9160102066970959	0.7327306838937129
5000	6000.0	5500.0	5493.252941176471	1360	1069.0	0.7860294117647059	0.7643000000000001	0.8078000000000001	-94.82758620689656	0.8476266616409538	0.9170698273763227	0.7310777429666377
5100	6100.0	5600.0	5602.85590778098	1388	1092.0	0.7867435158501441	0.7652	0.8082	-96.55172413793103	0.848079177320506	0.9184896404246947	0.7294183540697159
5200	6200.0	5700.0	5739.994983277592	1196	934.0	0.7809364548494984	0.7569	0.8037000000000001	-98.27586206896552	0.8485305892746926	0.9197857279655635	0.7277525386280983
5300	6300.0	5800.0	5793.338842975207	1210	945.0	0.78099173553719	0.7571	0.8036000000000001	-100.0	0.8489808987694476	0.9209087296116762	0.7260803186911418
5400	6400.0	5900.0	5863.63201320132	1212	952.0	0.7854785478547854	0.7618	0.8079000000000001	-101.72413793103448	0.8494301070780627	0.9220134704440939	0.7243743414358701
5500	6500.0	6000.0	5970.128664495114	1228	961.0	0.7825732899022801	0.759	0.805	-103.44827586206897	0.8498782154811266	0.923101085456221	0.7225495314830765
5600	6600.0	6100.0	6090.12	1250	970.0	0.776	0.7524000000000001	0.7985	-105.17241379310344	0.8503252252664669	0.9241747797555939	0.7204642035401858
5700	6700.0	6200.0	6169.695945945946	1184	924.0	0.7804054054054054	0.7562	0.8033	-106.89655172413794	0.85077113772909	0.9252346968672415	0.7183693054247839
5800	6800.0	6300.0	6214.6785109983075	1182	927.0	0.7842639593908629	0.7602	0.807	-108.62068965517241	0.8512159541711217	0.9262809798084302	0.7165189974979445
5900	6900.0	6400.0	6301.477186311787	1052	823.0	0.782319391634981	0.7567	0.8065	-110.34482758620689	0.851659675901749	0.9273137710597966	0.7147206260332745
6000	7000.0	6500.0	6434.0329670329675	910	712.0	0.7824175824175824	0.7549	0.8084	-112.06896551724138	0.8521023042371604	0.9283332125375255	0.7129154115045573
6100	7100.0	6600.0	6701.854922279793	1158	892.0	0.770293609671848	0.7455	0.7938000000000001	-113.79310344827586	0.8525438405004876	0.9293394455665569	0.711103385815056
6200	7200.0	6700.0	6784.20205479452	1168	901.0	0.771404109589041	0.7468	0.7949	-115.51724137931035	0.8529842860217467	0.9303966993583612	0.7092845816461126
6300	7300.0	6800.0	6863.013266998341	1206	944.0	0.7827529021558872	0.759	0.8054	-117.24137931034483	0.8534236421377795	0.9314823333845617	0.7074590324583263
6400	7400.0	6900.0	6936.222042139384	1234	961.0	0.7787682333873582	0.7551	0.8013	-118.96551724137932	0.8538619101921958	0.9325522572340429	0.7056267724925719
6500	7500.0	7000.0	7010.830122591944	1142	902.0	0.7898423817863398	0.7656000000000001	0.8128000000000001	-120.6896551724138	0.8542990915353144	0.9335300302300216	0.7037878367708512
6600	7600.0	7100.0	7132.828178694158	1164	944.0	0.8109965635738832	0.7879	0.8328	-122.41379310344827	0.8547351875241052	0.9344614175267183	0.7019422610969803
6700	7700.0	7200.0	7190.33038869258	1132	925.0	0.8171378091872792	0.794	0.8389000000000001	-124.13793103448276	0.8551701995221318	0.9353806529553449	0.7000935627313907
6800	7800.0	7300.0	7238.849090909091	1100	896.0	0.8145454545454546	0.7909	0.8367	-125.86206896551724	0.8556041288994933	0.9362878698995191	0.6982429383185634
6900	7900.0	7400.0	7286.214539007092	1128	922.0	0.8173758865248227	0.7942	0.8392000000000001	-127.58620689655173	0.8560369770327667	0.9371832009877977	0.696385846765246
7000	8000.0	7500.0	7343.660746003552	1126	926.0	0.822380106571936	0.7993	0.8439000000000001	-129.31034482758622	0.8564687453049493	0.9380667780761742	0.6945223263724095
7100	8100.0	7600.0	7439.891067538127	918	769.0	0.8376906318082789	0.8129000000000001	0.8605	-131.0344827586207	0.8568994351054019	0.9389387322313864	0.6926524162060617
7200	8200.0	7700.0	7574.395415472779	698	608.0	0.8710601719197708	0.8449000000000001	0.8945000000000001	-132.75862068965517	0.8573290478297909	0.9397991937150139	0.6907761560969214
7300	8300.0	7800.0	7666.80981595092	652	561.0	0.8604294478527608	0.8325	0.8856	-134.48275862068965	0.8577575848800318	0.9406482919683514	0.688893586639923
7400	8400.0	7900.0	7793.200772200772	518	454.0	0.8764478764478765	0.8463	0.9028	-136.20689655172413	0.858185047664232	0.941486155598038	0.6870047491935456
7500	8500.0	8000.0	7842.6731517509725	514	454.0	0.8832684824902723	0.8537	0.9091	-137.93103448275863	0.8586114375966345	0.9423129123624262	0.6851096858789703
7600	8600.0	8100.0	8009.812834224599	374	319.0	0.8529411764705882	0.8147000000000001	0.8863000000000001	-139.6551724137931	0.8590367560975607	0.9431548827508881	0.6832084395790604
7700	8700.0	8200.0	8085.301775147929	338	293.0	0.8668639053254438	0.8280000000000001	0.9002	-141.3793103448276	0.8594610045933548	0.9440149488233497	0.6813010539371647
7800	8800.0	8300.0	8143.809210526316	304	268.0	0.881578947368421	0.8422000000000001	0.9146000000000001	-143.10344827586206	0.8598841845163268	0.944862269023488	0.6793875733557431
7900	8900.0	8400.0	8268.829457364342	258	233.0	0.9031007751937985	0.8631000000000001	0.9352	-144.82758620689654	0.8603062973046968	0.9456975023748913	0.6774680429948127
8000	9000.0	8500.0	8368.930693069307	202	183.0	0.905940594059406	0.8606	0.9410000000000001	-146.55172413793105	0.8607273444025391	0.9465207990880915	0.6755425087702122
8100	9100.0	8600.0	8466.954022988506	174	160.0	0.9195402298850575	0.873	0.9538000000000001	-148.27586206896552	0.8611473272597263	0.9473323081792364	0.6736110173516865
8200	9200.0	8700.0	8569.111111111111	162	149.0	0.9197530864197531	0.8713000000000001	0.9550000000000001	-150.0	0.8615662473318739	0.948132177457893	0.6716736161607864
8300	9300.0	8800.0	8665.231884057972	138	129.0	0.9347826086956522	0.8854000000000001	0.9681000000000001	-151.72413793103448	0.8619841060802844	0.9489205535157453	0.669730353368587
8400	9400.0	8900.0	8820.983333333334	120	117.0	0.975	0.9355	0.9939	-153.44827586206895	0.8624009049718928	0.9496975817161599	0.6677812778932192
8500	9500.0	9000.0	8977.074074074075	108	106.0	0.9814814814814815	0.9424	0.9971000000000001	-155.17241379310346	0.8628166454792107	0.9504634061845983	0.665826439397218
8600	9700.0	9150.0	9076.84	100	98.0	0.98	0.9379000000000001	0.9968	-157.75862068965517	0.8634382750043379	0.9515914480942828	0.6628834864505276
8700	9900.0	9300.0	9234.941176470587	102	99.0	0.9705882352941176	0.9245000000000001	0.9928	-160.3448275862069	0.8640575315030401	0.9526950797055022	0.6599278535158953
8800	10000.0	9400.0	9390.25	104	100.0	0.9615384615384616	0.9122	0.9880000000000001	-162.06896551724137	0.8644690533079329	0.9534175054522062	0.6579504743474996
8900	10100.0	9500.0	9483.884615384615	104	99.0	0.9519230769230769	0.8991	0.9826	-163.79310344827587	0.8648795241728313	0.9541294292461484	0.6559675915312948
9000	10200.0	9600.0	9607.36	100	95.0	0.95	0.8952	0.9819	-165.51724137931035	0.865288945602561	0.9548309876282802	0.6539792591300685
9100	10400.0	9750.0	9706.96	100	95.0	0.95	0.8952	0.9819	-168.10344827586206	0.8659011133607941	0.9558641855784518	0.6509866625909743
9200	10600.0	9900.0	9881.78431372549	102	97.0	0.9509803921568627	0.8971	0.9822000000000001	-170.68965517241378	0.8665109284066123	0.9568748164413534	0.6479821158278916
9300	10700.0	10000.0	9979.75	104	99.0	0.9519230769230769	0.8991	0.9826	-172.41379310344828	0.8669161672470388	0.9575362528670266	0.6459725400628218
9400	10900.0	10150.0	10131.078431372549	102	97.0	0.9509803921568627	0.8971	0.9822000000000001	-175.0	0.8675220725481638	0.9585102565149484	0.642948503585358
9500	11400.0	10450.0	10217.88	100	95.0	0.95	0.8952	0.9819	-180.17241379310346	0.8687268715393678	0.9603945020896599	0.636866336571818
9600	12400.0	11000.0	10375.7	100	95.0	0.95	0.8952	0.9819	-189.6551724137931	0.8709115096645579	0.9636378300160056	0.6253416942483353
9700	13300.0	11500.0	10567.74	100	97.0	0.97	0.923	0.9926	-198.27586206896552	0.8728705981102742	0.9662567172277761	0.6139867209059934
9800	13500.0	11650.0	10715.4	100	97.0	0.97	0.923	0.9926	-200.86206896551724	0.8734533512715346	0.9670038656248002	0.6105552602660933
9900	18100.0	14000.0	11210.981481481482	108	104.0	0.9629629629629629	0.9154	0.9885	-241.3793103448276	0.8822882372293214	0.9768131334429674	0.5568181064976554
